Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-10-14,2.03,2.03,2.03,2.03
2014-10-15,2.02,2.02,2.02,2.02
2014-10-16,2.01,2.01,2.01,2.01
2014-10-17,2,2,2,2
2014-10-20,2,2,2,2
2014-10-21,1.99,1.99,1.99,1.99
2014-10-22,1.98,1.98,1.98,1.98
2014-10-23,1.98,1.98,1.98,1.98
2014-10-24,1.97,1.97,1.97,1.97
2014-10-27,1.97,1.97,1.97,1.97
2014-10-28,1.97,1.97,1.97,1.97
2014-10-29,1.96,1.96,1.96,1.96
2014-10-30,1.96,1.96,1.96,1.96
2014-10-31,1.95,1.95,1.95,1.95
2014-11-03,1.94,1.94,1.94,1.94
2014-11-04,1.94,1.94,1.94,1.94
2014-11-05,1.94,1.94,1.94,1.94
2014-11-06,2.01,2.01,2.01,2.01
2014-11-07,2.02,2.02,2.02,2.02
2014-11-10,2.02,2.02,2.02,2.02
2014-11-12,2.03,2.03,2.03,2.03
2014-11-13,2.03,2.03,2.03,2.03
2014-11-14,2.03,2.03,2.03,2.03
2014-11-17,2.04,2.04,2.04,2.04
2014-11-18,2.05,2.05,2.05,2.05
2014-11-19,2.05,2.05,2.05,2.05
2014-11-20,2.05,2.05,2.05,2.05
2014-11-21,2.05,2.05,2.05,2.05
2014-11-24,2.05,2.05,2.05,2.05
2014-11-25,2.05,2.05,2.05,2.05
2014-11-26,2.05,2.05,2.05,2.05
2014-11-27,2.05,2.05,2.05,2.05
2014-11-28,2.05,2.05,2.05,2.05
2014-12-01,2.05,2.05,2.05,2.05
2014-12-02,2.05,2.05,2.05,2.05
2014-12-03,2.05,2.05,2.05,2.05
2014-12-04,2.05,2.05,2.05,2.05
2014-12-05,2.05,2.05,2.05,2.05
2014-12-08,2.05,2.05,2.05,2.05
2014-12-09,2.05,2.05,2.05,2.05
2014-12-10,2.05,2.05,2.05,2.05
2014-12-11,2.05,2.05,2.05,2.05
2014-12-12,2.05,2.05,2.05,2.05
2014-12-15,2.05,2.05,2.05,2.05
2014-12-16,2.05,2.05,2.05,2.05
2014-12-17,2.05,2.05,2.05,2.05
2014-12-18,2.05,2.05,2.05,2.05
2014-12-19,2.05,2.05,2.05,2.05
2014-12-22,2.05,2.05,2.05,2.05
2014-12-23,2.05,2.05,2.05,2.05
2014-12-24,2.05,2.05,2.05,2.05
2014-12-29,2.05,2.05,2.05,2.05
2014-12-30,2.05,2.05,2.05,2.05
2014-12-31,2.05,2.05,2.05,2.05
2015-01-02,2.05,2.05,2.05,2.05
2015-01-05,2.05,2.05,2.05,2.05
2015-01-07,2.05,2.05,2.05,2.05
2015-01-08,2.05,2.05,2.05,2.05
2015-01-09,2.05,2.05,2.05,2.05
2015-01-12,2.04,2.04,2.04,2.04
2015-01-13,2.04,2.04,2.04,2.04
2015-01-14,2.03,2.03,2.03,2.03
2015-01-15,2.03,2.03,2.03,2.03
2015-01-16,2.02,2.02,2.02,2.02
2015-01-19,2.01,2.01,2.01,2.01
2015-01-20,2.01,2.01,2.01,2.01
2015-01-21,2.01,2.01,2.01,2.01
2015-01-22,2.01,2.01,2.01,2.01
2015-01-23,2,2,2,2
2015-01-26,2,2,2,2
2015-01-27,2,2,2,2
2015-01-28,1.99,1.99,1.99,1.99
2015-01-29,1.99,1.99,1.99,1.99
2015-01-30,1.99,1.99,1.99,1.99
2015-02-02,1.98,1.98,1.98,1.98
2015-02-03,1.98,1.98,1.98,1.98
2015-02-04,1.98,1.98,1.98,1.98
2015-02-05,1.97,1.97,1.97,1.97
2015-02-06,1.96,1.96,1.96,1.96
2015-02-09,1.95,1.95,1.95,1.95
2015-02-10,1.95,1.95,1.95,1.95
2015-02-11,1.95,1.95,1.95,1.95
2015-02-12,1.94,1.94,1.94,1.94
2015-02-13,1.93,1.93,1.93,1.93
2015-02-16,1.92,1.92,1.92,1.92
2015-02-17,1.91,1.91,1.91,1.91
2015-02-18,1.9,1.9,1.9,1.9
2015-02-19,1.86,1.86,1.86,1.86
2015-02-20,1.84,1.84,1.84,1.84
2015-02-23,1.83,1.83,1.83,1.83
2015-02-24,1.82,1.82,1.82,1.82
2015-02-25,1.81,1.81,1.81,1.81
2015-02-26,1.8,1.8,1.8,1.8
2015-02-27,1.8,1.8,1.8,1.8
2015-03-02,1.8,1.8,1.8,1.8
2015-03-03,1.79,1.79,1.79,1.79
2015-03-04,1.79,1.79,1.79,1.79
2015-03-05,1.66,1.66,1.66,1.66
2015-03-06,1.66,1.66,1.66,1.66
2015-03-09,1.66,1.66,1.66,1.66
2015-03-10,1.66,1.66,1.66,1.66
2015-03-11,1.66,1.66,1.66,1.66
2015-03-12,1.66,1.66,1.66,1.66
2015-03-13,1.66,1.66,1.66,1.66
2015-03-16,1.66,1.66,1.66,1.66
2015-03-17,1.66,1.66,1.66,1.66
2015-03-18,1.66,1.66,1.66,1.66
2015-03-19,1.66,1.66,1.66,1.66
2015-03-20,1.66,1.66,1.66,1.66
2015-03-23,1.66,1.66,1.66,1.66
2015-03-24,1.66,1.66,1.66,1.66
2015-03-25,1.66,1.66,1.66,1.66
2015-03-26,1.66,1.66,1.66,1.66
2015-03-27,1.66,1.66,1.66,1.66
2015-03-30,1.66,1.66,1.66,1.66
2015-03-31,1.66,1.66,1.66,1.66
2015-04-01,1.66,1.66,1.66,1.66
2015-04-02,1.66,1.66,1.66,1.66
2015-04-03,1.66,1.66,1.66,1.66
2015-04-07,1.66,1.66,1.66,1.66
2015-04-08,1.66,1.66,1.66,1.66
2015-04-09,1.66,1.66,1.66,1.66
2015-04-10,1.66,1.66,1.66,1.66
2015-04-13,1.66,1.66,1.66,1.66
2015-04-14,1.66,1.66,1.66,1.66
2015-04-15,1.66,1.66,1.66,1.66
2015-04-16,1.66,1.66,1.66,1.66
2015-04-17,1.66,1.66,1.66,1.66
2015-04-20,1.66,1.66,1.66,1.66
2015-04-21,1.66,1.66,1.66,1.66
2015-04-22,1.66,1.66,1.66,1.66
2015-04-23,1.66,1.66,1.66,1.66
2015-04-24,1.66,1.66,1.66,1.66
2015-04-27,1.66,1.66,1.66,1.66
2015-04-28,1.66,1.66,1.66,1.66
2015-04-29,1.66,1.66,1.66,1.66
2015-04-30,1.66,1.66,1.66,1.66
2015-05-04,1.66,1.66,1.66,1.66
2015-05-05,1.66,1.66,1.66,1.66
2015-05-06,1.66,1.66,1.66,1.66
2015-05-07,1.68,1.68,1.68,1.68
2015-05-08,1.7,1.7,1.7,1.7
2015-05-11,1.71,1.71,1.71,1.71
2015-05-12,1.72,1.72,1.72,1.72
